timestamp,ticker,name,percent_gain
2025-06-12 20:53:40,MP,Mp Materials Corp,14.02
2025-06-12 20:53:40,ORCL,Oracle Corp,13.12
2025-06-12 20:53:40,TAC,TransAlta Corp,9.07
2025-06-12 20:53:40,GENI,Genius Sports Ltd,8.02
2025-06-12 20:53:40,GDXU,MicroSectors Gold Miners 3X Leveraged ETN,7.80
2025-06-12 20:53:40,AAPG,Ascentage Pharma Group International American Depository Shares,6.89
2025-06-12 20:53:40,AU,Anglogold Ashanti PLC,6.50
2025-06-12 20:53:40,SEZL,Sezzle Inc,6.39
2025-06-12 20:53:40,CRK,Comstock Resources Inc,6.14
2025-06-12 20:53:40,FN,Fabrinet,5.92
2025-06-12 20:56:41,ORCL,Oracle Corp,13.08
2025-06-12 20:56:41,MP,Mp Materials Corp,12.64
2025-06-12 20:56:41,TAC,TransAlta Corp,8.88
2025-06-12 20:56:41,GDXU,MicroSectors Gold Miners 3X Leveraged ETN,8.74
2025-06-12 20:56:41,GENI,Genius Sports Ltd,8.17
2025-06-12 20:56:41,AAPG,Ascentage Pharma Group International American Depository Shares,6.89
2025-06-12 20:56:41,SEZL,Sezzle Inc,6.63
2025-06-12 20:56:41,AU,Anglogold Ashanti PLC,6.55
2025-06-12 20:56:41,CRK,Comstock Resources Inc,6.39
2025-06-12 20:56:41,FN,Fabrinet,5.61
2025-06-12 20:59:43,MP,Mp Materials Corp,14.06
2025-06-12 20:59:43,ORCL,Oracle Corp,13.17
2025-06-12 20:59:43,TAC,TransAlta Corp,8.83
2025-06-12 20:59:43,GDXU,MicroSectors Gold Miners 3X Leveraged ETN,8.60
2025-06-12 20:59:43,GENI,Genius Sports Ltd,8.38
2025-06-12 20:59:43,AAPG,Ascentage Pharma Group International American Depository Shares,7.39
2025-06-12 20:59:43,CRK,Comstock Resources Inc,7.06
2025-06-12 20:59:43,SEZL,Sezzle Inc,6.61
2025-06-12 20:59:43,AU,Anglogold Ashanti PLC,6.44
2025-06-12 20:59:43,FN,Fabrinet,5.54
2025-06-12 21:02:44,MP,Mp Materials Corp,13.88
2025-06-12 21:02:44,ORCL,Oracle Corp,13.31
2025-06-12 21:02:44,TAC,TransAlta Corp,8.88
2025-06-12 21:02:44,GDXU,MicroSectors Gold Miners 3X Leveraged ETN,8.61
2025-06-12 21:02:44,GENI,Genius Sports Ltd,8.39
2025-06-12 21:02:44,AAPG,Ascentage Pharma Group International American Depository Shares,7.63
2025-06-12 21:02:44,CRK,Comstock Resources Inc,7.04
2025-06-12 21:02:44,SEZL,Sezzle Inc,6.78
2025-06-12 21:02:44,AU,Anglogold Ashanti PLC,6.41
2025-06-12 21:02:44,FN,Fabrinet,5.69
2025-06-12 21:05:45,MP,Mp Materials Corp,13.88
2025-06-12 21:05:45,ORCL,Oracle Corp,13.31
2025-06-12 21:05:45,TAC,TransAlta Corp,8.88
2025-06-12 21:05:45,GDXU,MicroSectors Gold Miners 3X Leveraged ETN,8.61
2025-06-12 21:05:45,GENI,Genius Sports Ltd,8.39
2025-06-12 21:05:45,AAPG,Ascentage Pharma Group International American Depository Shares,7.63
2025-06-12 21:05:45,CRK,Comstock Resources Inc,7.02
2025-06-12 21:05:45,SEZL,Sezzle Inc,6.78
2025-06-12 21:05:45,AU,Anglogold Ashanti PLC,6.41
2025-06-12 21:05:45,FN,Fabrinet,5.69
2025-06-12 21:08:46,MP,Mp Materials Corp,13.88
2025-06-12 21:08:46,ORCL,Oracle Corp,13.31
2025-06-12 21:08:46,TAC,TransAlta Corp,8.88
2025-06-12 21:08:46,GDXU,MicroSectors Gold Miners 3X Leveraged ETN,8.61
2025-06-12 21:08:46,GENI,Genius Sports Ltd,8.39
2025-06-12 21:08:46,AAPG,Ascentage Pharma Group International American Depository Shares,7.63
2025-06-12 21:08:46,CRK,Comstock Resources Inc,7.04
2025-06-12 21:08:46,SEZL,Sezzle Inc,6.78
2025-06-12 21:08:46,AU,Anglogold Ashanti PLC,6.41
2025-06-12 21:08:46,FN,Fabrinet,5.69
2025-06-12 21:12:21,MP,Mp Materials Corp,13.88
2025-06-12 21:12:21,ORCL,Oracle Corp,13.25
2025-06-12 21:12:21,TAC,TransAlta Corp,8.88
2025-06-12 21:12:21,GDXU,MicroSectors Gold Miners 3X Leveraged ETN,8.61
2025-06-12 21:12:21,GENI,Genius Sports Ltd,8.39
2025-06-12 21:12:21,AAPG,Ascentage Pharma Group International American Depository Shares,7.63
2025-06-12 21:12:21,CRK,Comstock Resources Inc,7.04
2025-06-12 21:12:21,SEZL,Sezzle Inc,6.78
2025-06-12 21:12:21,AU,Anglogold Ashanti PLC,6.41
2025-06-12 21:12:21,FN,Fabrinet,5.69
