ticker,name,percent_gain
ORCL,Oracle Corp,+$23.79
GDXU,MicroSectors Gold Miners 3X Leveraged ETN,+$6.23
TAC,TransAlta Corp,+$0.85
GENI,Genius Sports Ltd,+$0.71
SEZL,Sezzle Inc,+$8.89
AU,Anglogold Ashanti PLC,+$3.02
AAPG,Ascentage Pharma Group International American Depository Shares,+$1.93
ATAT,Atour Lifestyle Holdings Ltd - ADR,+$1.95
VEON,VEON Ltd,+$2.62
ONC,Beigene Ltd,+$15.28
APLD,Applied Digital Corp,+$0.69
FN,Fabrinet,+$13.22
SMMT,Summit Therapeutics Inc,+$1.06
RARE,Ultragenyx Pharmaceutical Inc,+$1.93
ZLAB,Zai Lab Ltd - ADR,+$2.10
MTSR,Metsera Inc,+$1.65
CRK,Comstock Resources Inc,+$1.19
NAMS,NewAmsterdam Pharma Company NV,+$1.00
LEGN,Legend Biotech Corp,+$1.75
CAH,Cardinal Health Inc,+$7.06
